id,title,organizationType,organization,date,location,attendees,needs,budget,description,requirements,contactEmail,url
113,MSCCH 2025 Annual Meeting,Department Event,Not specified,2025-02-28T15:00:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Meeting Room 3-4-5, Fairfax Campus, The HUB, Meeting Room 1 &amp; 2, Fairfax Campus, The HUB, Meeting Room VIP I, Fairfax Campus, The HUB, Meeting Room VIP II, Fairfax Campus, The HUB, Meeting Room VIP III,&#8230;",0,Not specified,Not specified,MSCCH Annual meeting 2025,Not specified,Not specified,
114,Admissions Saturday Information Sessions,Department Event,Not specified,2025-03-01T09:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Admissions+Saturday+Information+Sessions)"" target=""_blank"" rel=""noopener"">Johnson Center, Cinema, Fairfax Campus</a>",0,Not specified,Not specified,Information session location for Admissions Saturday sessions (tours launched after each session)&#160;,Not specified,Not specified,
115,MSCCH 2025 Annual Meeting,Department Event,Not specified,2025-03-01T15:00:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Meeting Room 3-4-5, Fairfax Campus, The HUB, Meeting Room 1 &amp; 2, Fairfax Campus, The HUB, Meeting Room VIP I, Fairfax Campus, The HUB, Meeting Room VIP II, Fairfax Campus, The HUB, Meeting Room VIP III,&#8230;",0,Not specified,Not specified,MSCCH Annual meeting 2025,Not specified,Not specified,
116,Red Dress Gala,Department Event,Not specified,2025-03-01T19:00:00,"Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Not specified,Not specified,Alpha Phi Red Dress Gala&#160;,Not specified,Not specified,
117,Expressions,Department Event,Not specified,2025-03-01T19:30:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Expressions)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,$30,"Violinist Leonid Sushansky joins Maestro Villani and the MSO for Mendelssohn&#8217;s highly-regarded Violin Concerto in E Minor. At age 15, Sushansky debuted with the New York Philharmonic at the invitation of conductor Zubin Mehta. He is the Artistic Director of the National Chamber Ensemble and continues his distinguished career as a performer and teacher. The concert concludes with Respighi&#8217;s gorgeous and picturesque tone poem, Pines of Rome . $30 adult; $25 group (10+) Subscriptions are available for the Manassas Symphony Orchestra 2024&#8211;25 season until October 27. Please visit or call the Hylton Center Ticket Office at 703-993-7700 to subscribe. Individual tickets go on sale August 1.&#160; &#160; &#160;",Not specified,Not specified,
118,Kodo,Department Event,Not specified,2025-03-01T20:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Kodo)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$60,"One Earth Tour 2025: Warabe Experience the &#8220;primal power and bravura beauty of Kodo&#8221; ( Chicago Tribune ) when Japan&#8217;s premier ensemble of taiko drummers returns to the Center for the Arts with its exuberant rhythms and energy. Always an audience favorite, Kodo &#8217;s modern take on the ancient art form of taiko drumming will leave its audience breathless with its heart-pounding and stunningly athletic displays of musicianship. Since its debut in 1981, the group has given over 7,000 performances in more than 50 countries and regions on five continents. Aptly named&#8212;from the Japanese word for heartbeat, the primal source of all rhythm&#8212;Kodo can also be translated from the two characters that comprise it: ko, meaning &#8220;drum&#8221; and do, from the word for &#8220;child&#8221; to &#8220;Children of the drum.&#8221; The Boston Globe declares, &#8220;If there is such a thing as perfection in music, Kodo comes as near to it as any group in the world,&#8221; so make sure to catch this &#8220;celebration of music, of physicality, of life&#8221; ( New York Times ). This performance is appropriate for all ages. Tickets: $60, $51, $36; half-price for youth through Grade 12",Not specified,Not specified,
119,Admissions - Honors College &#8220;A Celebration of Excellence&#8221;,Department Event,Not specified,2025-03-02T09:30:00,"Johnson Center, 325, Meeting Room A, Fairfax Campus, Johnson Center, 326, Meeting Room B, Fairfax Campus, Johnson Center, 333, Meeting Room D, Fairfax Campus, Johnson Center, 334, Meeting Room E, Fairfax Campus, Johnson Center, 337, Meeting Room G,&#8230;",0,Not specified,Not specified,,Not specified,Not specified,
120,Keyboard Conversations&#174; with Jeffrey Siegel: A Few of Our Favorite Things,Department Event,Not specified,2025-03-02T14:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Keyboard+Conversations%c2%ae+with+Jeffrey+Siegel%3a+A+Few+of+Our+Favorite+Things)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,$50,"The internationally acclaimed pianist Jeffrey Siegel returns with his popular Keyboard Conversations &#174; &#8212;concerts with captivating commentary. A Few of Our Favorite Things is a program of beloved, familiar works composed by some of the most popular composers of all time: Chopin, Rachmaninoff, Debussy, and Scott Joplin&#8212;music known to non-concert goers as well as classical music aficionados. The program will conclude with a short Q&A with the audience. &#8220;An achievement of a sort seldom heard.&#8221; &#8211;New York Times This performance is appropriate for all ages. Tickets: $50, $43, $29; half-price for youth through Grade 12 Run Time: approximately 90 minutes, plus intermission 2024-25 Hylton Performing Arts Center Season Sponsor:",Not specified,Not specified,
121,MSCCH 2025 Annual Meeting,Department Event,Not specified,2025-03-02T15:00:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Meeting Room 3-4-5, Fairfax Campus, The HUB, Meeting Room 1 &amp; 2, Fairfax Campus, The HUB, Meeting Room VIP I, Fairfax Campus, The HUB, Meeting Room VIP II, Fairfax Campus, The HUB, Meeting Room VIP III,&#8230;",0,Not specified,Not specified,MSCCH Annual meeting 2025,Not specified,Not specified,
122,Ang&#233;lique Kidjo,Department Event,Not specified,2025-03-02T19:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Ang%c3%a9lique+Kidjo)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$60,"Five-time GRAMMY Award winner&#160; Ang&#233;lique Kidjo &#160;brings her powerhouse voice, electrifying stage presence, and joyous music to the Center for the Arts. Named one of 2021&#8217;s &#8220;Most Influential People&#8221; by&#160; TIME Magazine&#160; and one of the &#8220;Top 100 Most Inspiring Women in the World&#8221; by the &#160;Guardian,&#160; Kidjo is one of the greatest artistic forces in international music today with 16 albums to her name and an impressive lineup of awards and recognitions. Blending West African rhythms with jazz, pop, funk, R&B, Latin, and dance music, Kidjo&#8217;s visionary music tells the story of Africa&#8217;s past while looking ahead to the future. Her extraordinarily eclectic four-decade career has featured collaborations with Bono, Alicia Keys, John Legend, Branford Marsalis, Carlos Santana, Philip Glass, Dianne Reeves, and the Kronos Quartet. &#8220;Her music transcends mere danceability and instead possesses you with its rhythm, leaving you no choice but to move with the groove&#8221; ( NPR ). This performance is appropriate for all ages. Tickets: $60, $51, $36 Run Time: approximately 90 minutes This is a Special Event and not part of the&#160; Great Performances at Mason &#160;series. Tickets to this performance are not available as part of a subscription package or at a discount.&#160;",Not specified,Not specified,
123,Admissions - Spotlight Day,Student Organization,Not specified,2025-03-03T10:00:00,"Johnson Center, Cinema, Fairfax Campus, Johnson Center, 244, Conference Room, Fairfax Campus, Johnson Center, 325, Meeting Room A, Fairfax Campus, Johnson Center, 326, Meeting Room B, Fairfax Campus, Johnson Center, 327, Meeting Room C, Fairfax Campus,&#8230;",0,Not specified,Not specified,Spotlight Days are for admitted students. Students will hear from a panel made up of current Mason students and representatives from campus partners. Academic units will offer information sessions followed by student support resources browsing. Mason Ambassadors will offer campus tours and lunch will be offered.,Not specified,Not specified,
124,MSCCH 2025 Annual Meeting,Department Event,Not specified,2025-03-03T15:00:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Meeting Room 3-4-5, Fairfax Campus, The HUB, Meeting Room 1 &amp; 2, Fairfax Campus, The HUB, Meeting Room VIP I, Fairfax Campus, The HUB, Meeting Room VIP II, Fairfax Campus, The HUB, Meeting Room VIP III,&#8230;",0,Not specified,Not specified,MSCCH Annual meeting 2025,Not specified,Not specified,
125,FSL Awards Ceremony,Department Event,Not specified,2025-03-03T19:30:00,"Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Not specified,Not specified,Annual awards ceremony for Fraternity and Sorority Life chapters and members,Not specified,Not specified,
126,Mason Symphony Orchestra Concert #3 Winter 2025,Student Organization,Not specified,2025-03-03T20:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Mason+Symphony+Orchestra+Concert+%233+Winter+2025)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$15,"GET TICKETS Join the Dewberry School of Music&#39;s Mason Symphony Orchestra for its third concert of the season with conductors Dr. Soo Han and Michael Stern. Tickets: $15 General Public, $10 Seniors, $5 Students PERFORMANCE PROGRAM The program for this performance will be available the week of the event. View digital program.",Not specified,Not specified,
127,Pakistani Student Association General Body Meeting,Department Event,Not specified,2025-03-04T16:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Pakistani+Student+Association+General+Body+Meeting)"" target=""_blank"" rel=""noopener"">Johnson Center, Bistro, Fairfax Campus</a>",0,Not specified,Not specified,One of our bigger recurring general body meetings.,Not specified,Not specified,
128,Azucar Bacahta 1,Department Event,Not specified,2025-03-04T19:00:00,"<a href=""http://maps.google.com/?q=38.830703,-77.304832(Azucar+Bacahta+1)"" target=""_blank"" rel=""noopener"">The HUB, Ballroom, Front &amp; Middle, Fairfax Campus</a>",0,Not specified,Not specified,Bachata 1 Class and Social,Not specified,Not specified,
129,Azucar Zouk 1,Department Event,Not specified,2025-03-05T19:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Azucar+Zouk+1)"" target=""_blank"" rel=""noopener"">Johnson Center, Bistro, Fairfax Campus</a>",0,Not specified,Not specified,Azucar Zouk 1 Class and Social,Not specified,Not specified,
130,Hayden Center Event,Department Event,Not specified,2025-03-06T16:00:00,"Van Metre Hall, 125/126, Multipurpose Room, Mason Square, Van Metre Hall, 134, Auditorium, Mason Square",0,Food,Not specified,"Panel-style event with later Q&A featuring journalists, policymakers, and government officials talking about matters of national security. After the event, there will be complimentary food and beverage.",Not specified,Not specified,
131,Anti-Trafficking Conference,Department Event,Not specified,2025-03-07T09:30:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Meeting Room VIP I, Fairfax Campus, The HUB, Meeting Room VIP II, Fairfax Campus, The HUB, Meeting Room VIP III, Fairfax Campus, The HUB, Meeting Room 1, Fairfax Campus, The HUB, Meeting Room 2, Fairfax&#8230;",0,Not specified,Not specified,"Conference for anti- human trafficking. Includes professionals, community members, and departments.",Not specified,Not specified,
132,MSA Ramadan Reminder,Department Event,Not specified,2025-03-07T15:00:00,,0,Not specified,Not specified,Join MSA for a Ramadan Reminder!,Not specified,Not specified,
133,Harlem Globetrotters,Department Event,Not specified,2025-03-07T19:00:00,EagleBank Arena (Patriot Center),0,Not specified,Not specified,Tickets can be purchased at www.ticketmaster.com or at the EagleBank Arena Box Office.&#160; Box Office hours are Tuesday - Thursday (12pm - 6pm) or Friday - Saturday (12pm - 4pm). &#160;,Not specified,Not specified,
134,Love,Department Event,Not specified,2025-03-07T19:30:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Love)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,$75,"If you loved&#160; Dracula , don&#39;t miss Kim Reynolds&#8217; new contemporary ballet, Love , performed by The Kim Reynolds Band. MBT&#8217;s company dancers set the stage with original, collaborative choreography in this beautiful expression of love that will leave you breathless. The ballet Love consists of multiple vignettes each representing a different aspect of the complex thing that is love. $75; $65; $55; $45 Subscriptions are available for the Manassas Ballet Theatre 2024&#8211;25 season. Please visit&#160; manassasballet.org &#160;or call 703-257-1811.&#160; Individual tickets go on sale August 1.&#160;",Not specified,Not specified,
135,Admissions Saturday Information Sessions,Department Event,Not specified,2025-03-08T09:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Admissions+Saturday+Information+Sessions)"" target=""_blank"" rel=""noopener"">Johnson Center, Cinema, Fairfax Campus</a>",0,Not specified,Not specified,Information session location for Admissions Saturday sessions (tours launched after each session)&#160;,Not specified,Not specified,
136,Anti-Trafficking Conference,Department Event,Not specified,2025-03-08T09:30:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Meeting Room VIP I, Fairfax Campus, The HUB, Meeting Room VIP II, Fairfax Campus, The HUB, Meeting Room VIP III, Fairfax Campus, The HUB, Meeting Room 1, Fairfax Campus, The HUB, Meeting Room 2, Fairfax&#8230;",0,Not specified,Not specified,"Conference for anti- human trafficking. Includes professionals, community members, and departments.",Not specified,Not specified,
137,Dancing for a Cure,Department Event,Not specified,2025-03-08T19:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Dancing+for+a+Cure)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Gregory Family Theater</a>",0,Not specified,$30,"Due to inclement weather, and keeping the safety of the performers and audience members in mind, Dancing for A Cure has been rescheduled for March 8, 2025 at 7 p.m. Tickets that were purchased for the original performance date of January 11 will be honored for the rescheduled date. Axial Dance thanks you for supporting this performance and hopes to see you at the rescheduled performance date on March 8 at 7 p.m. Axial Dance proudly presents its 5th &#8220;Dancing for a Cure&#8221; where dancers from across the DMV will dance to help fight pediatric cancer. 100% of all proceeds raised benefit TheTruth365 to fund research and bring awareness to pediatric cancer. $30",Not specified,Not specified,
138,Love,Department Event,Not specified,2025-03-08T19:30:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Love)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,$75,"If you loved&#160; Dracula , don&#39;t miss Kim Reynolds&#8217; new contemporary ballet, Love , performed by The Kim Reynolds Band. MBT&#8217;s company dancers set the stage with original, collaborative choreography in this beautiful expression of love that will leave you breathless. The ballet Love consists of multiple vignettes each representing a different aspect of the complex thing that is love. $75; $65; $55; $45 Subscriptions are available for the Manassas Ballet Theatre 2024&#8211;25 season. Please visit&#160; manassasballet.org &#160;or call 703-257-1811.&#160; Individual tickets go on sale August 1.&#160;",Not specified,Not specified,
139,Fairfax Symphony: Elgar &amp; Mussorgsky,Student Organization,Not specified,2025-03-08T20:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Fairfax+Symphony%3a+Elgar+%26+Mussorgsky)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$65,"Christopher Zimmerman, conductor with Sergey Antonov, cello &#160; Program: Elgar: Cello Concerto with Sergey Antonov, cello Mussorgsky: Pictures at an Exhibition&#160; Dvor&#225;k: Three Slavonic Dances from Op. 72 Elgar&#8217;s deeply personal work gained iconic status through the legendary recordings of Jacqueline du Pr&#233;, whose story of the concerto was made famous in the 1998 Academy Award-nominated film Hilary and Jackie . GRAMMY-nominated, cellist Sergey Antonov, renowned for his expressive playing and technical mastery, follows in this great tradition, capturing the concerto&#39;s intricate blend of loss and hope. Pictures at an Exhibition brings you on a musical tour through an art gallery, depicting various pieces by artist Viktor Hartmann, who was a personal friend of Mussorgsky. From the playful &quot;Ballet of Unhatched Chicks&quot; to the majestic &quot;Great Gate of Kiev,&quot; the FSO will bring these pictures to life in a program that will move and inspire you. Tickets: $65, $55, $40; $20 for students Run Time: approximately two hours, with an intermission Pre-performance Discussion at 7pm with Maestro Zimmerman and Sergey Antonov",Not specified,Not specified,
140,Anti-Trafficking Conference,Department Event,Not specified,2025-03-09T09:30:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Meeting Room VIP I, Fairfax Campus, The HUB, Meeting Room VIP II, Fairfax Campus, The HUB, Meeting Room VIP III, Fairfax Campus, The HUB, Meeting Room 1, Fairfax Campus, The HUB, Meeting Room 2, Fairfax&#8230;",0,Not specified,Not specified,"Conference for anti- human trafficking. Includes professionals, community members, and departments.",Not specified,Not specified,
141,The Peking Acrobats,Department Event,Not specified,2025-03-09T13:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(The+Peking+Acrobats)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$55,"For more than 30 years, The Peking Acrobats have revitalized Chinese acrobatics, fusing ancient athletic discipline with modern special effects to create a kaleidoscopic marvel for all ages. These world-class gymnasts, jugglers, cyclists, and tumblers provide a gravity-defying spectacle with amazing displays of contortion, flexibility, and control. Accompanied by live musicians who skillfully play traditional Chinese instruments, The Peking Acrobats execute daring maneuvers and display their technical prowess at trick cycling, precision tumbling, juggling, somersaulting, and gymnastics. The Peking Acrobats will leave you and the whole family breathless with a performance full of exuberant pageantry and amazing feats that need to be seen to be believed. &#8220;The Peking Acrobats are pushing the envelope of human possibility, combining agility and grace in remarkable feats of pure artistry&#8221; ( New York Post ). &#160; This performance is appropriate for all ages. The 1 p.m. performance will be audio described. Tickets: $55, $47, $33; half-price for youth through Grade 12 Run Time: approximately 100 minutes, plus intermission",Not specified,Not specified,
142,Love,Department Event,Not specified,2025-03-09T15:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Love)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,$75,"If you loved&#160; Dracula , don&#39;t miss Kim Reynolds&#8217; new contemporary ballet, Love , performed by The Kim Reynolds Band. MBT&#8217;s company dancers set the stage with original, collaborative choreography in this beautiful expression of love that will leave you breathless. The ballet Love consists of multiple vignettes each representing a different aspect of the complex thing that is love. $75; $65; $55; $45 Subscriptions are available for the Manassas Ballet Theatre 2024&#8211;25 season. Please visit&#160; manassasballet.org &#160;or call 703-257-1811.&#160; Individual tickets go on sale August 1.&#160;",Not specified,Not specified,
143,The Peking Acrobats,Department Event,Not specified,2025-03-09T17:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(The+Peking+Acrobats)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$55,"For more than 30 years, The Peking Acrobats have revitalized Chinese acrobatics, fusing ancient athletic discipline with modern special effects to create a kaleidoscopic marvel for all ages. These world-class gymnasts, jugglers, cyclists, and tumblers provide a gravity-defying spectacle with amazing displays of contortion, flexibility, and control. Accompanied by live musicians who skillfully play traditional Chinese instruments, The Peking Acrobats execute daring maneuvers and display their technical prowess at trick cycling, precision tumbling, juggling, somersaulting, and gymnastics. The Peking Acrobats will leave you and the whole family breathless with a performance full of exuberant pageantry and amazing feats that need to be seen to be believed. &#8220;The Peking Acrobats are pushing the envelope of human possibility, combining agility and grace in remarkable feats of pure artistry&#8221; ( New York Post ). &#160; This performance is appropriate for all ages. The 1 p.m. performance will be audio described. Tickets: $55, $47, $33; half-price for youth through Grade 12 Run Time: approximately 100 minutes, plus intermission",Not specified,Not specified,
144,We Them One&#39;s Comedy Tour,Department Event,Not specified,2025-03-09T19:00:00,EagleBank Arena (Patriot Center),0,Not specified,Not specified,"Featuring:&#160; Mikek Epps, Kountry Wayne, Karlous Miller, Lil Dubal, Mojo Brookzz, HaHa Davis and Bubba Dub (lineup subject to change). Tickets can be purchased at www.ticketmaster.com or at the EagleBank Arena&#39;s Box Office. Box Office hours are Tuesday - Thursday (12pm - 6pm) and Friday - Saturday (12pm - 4pm).",Not specified,Not specified,
145,Virginia CyberSlam 2025,Department Event,Not specified,2025-03-10T08:00:00,"Johnson Center, Cinema, Fairfax Campus, Johnson Center, G19, Gold Room, Fairfax Campus, The HUB, Ballroom, Fairfax Campus, The HUB, Meeting Room VIP I, Fairfax Campus, The HUB, Meeting Room VIP II, Fairfax Campus, The HUB, Meeting Room VIP III, Fairfax&#8230;",0,Not specified,Not specified,,Not specified,Not specified,
146,MSA Iftar,Department Event,Not specified,2025-03-11T14:30:00,"Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Not specified,Not specified,Break your fast with the MSA!&#160;,Not specified,Not specified,
147,Azucar Bacahta 1,Department Event,Not specified,2025-03-11T19:00:00,"<a href=""http://maps.google.com/?q=38.830703,-77.304832(Azucar+Bacahta+1)"" target=""_blank"" rel=""noopener"">The HUB, Ballroom, Front &amp; Middle, Fairfax Campus</a>",0,Not specified,Not specified,Bachata 1 Class and Social,Not specified,Not specified,
148,West Point Leadership and Ethics Conference 2025,Department Event,Not specified,2025-03-13T07:00:00,"Van Metre Hall, 118, Classroom, Standard Fixed Seating, Mason Square, Van Metre Hall, 120, Classroom, Standard Fixed Seating, Mason Square, Van Metre Hall, 121, Classroom, Standard Fixed Seating, Mason Square, Van Metre Hall 311, Classroom Standard&#8230;",0,Not specified,Not specified,"This event is hosted in partnership of the School of Business and West Point. Guests are included in a day long immersion experience where they explore topics, conversations, and case studies relating to ethical leadership.&#160;",Not specified,Not specified,
149,Accelerate Industry Day with ISOA and Department of State,Department Event,Not specified,2025-03-14T08:00:00,"Van Metre Hall, 125/126, Multipurpose Room, Mason Square, Van Metre Hall, 134, Auditorium, Mason Square, Van Metre Hall, Art Gallery, Mason Square",0,Not specified,Not specified,Hall - Theater Style Auditorium - Classroom Art Gallery - As Is,Not specified,Not specified,
150,Collegiate Esports Tournament,Department Event,Not specified,2025-03-14T08:00:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Ballroom, Lobby, Fairfax Campus",0,Not specified,Not specified,"March 14th- March 16th Spring esports tournaments, for 24 different college teams",Not specified,Not specified,
151,Tu Bhi Nachle Mixer,Department Event,Not specified,2025-03-14T15:30:00,"Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Not specified,Not specified,"Tu Bhi Nachle&#39;s Mixer aims to provide a chance for teams across the country to get to know one another through a variety of games, interactive challenges, a dance-off and more. These challenges build a sense of excitement, reduce stress, create memories, promote camaraderie and team-building, encourage friendly competition, and determine the competition show order. In summary, TBN&#39;s Mixer with interactive games and bonding activities not only makes the process of determining the show order more enjoyable but also contributes to a positive competition atmosphere - ultimately enhancing the overall experience for competitors and participants alike.",Not specified,Not specified,
152,Tu Bhi Nachle Mixer (Bistro Reservation Addition),Department Event,Not specified,2025-03-14T17:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Tu+Bhi+Nachle+Mixer+Bistro+Reservation+Addition)"" target=""_blank"" rel=""noopener"">Johnson Center, Bistro, Fairfax Campus</a>",0,Not specified,Not specified,"Tu Bhi Nachle&#39;s Mixer aims to provide a chance for teams across the country to get to know one another through a variety of games, interactive challenges, a dance-off and more. These challenges build a sense of excitement, reduce stress, create memories, promote camaraderie and team-building, encourage friendly competition, and determine the competition show order. In summary, TBN&#39;s Mixer with interactive games and bonding activities not only makes the process of determining the show order more enjoyable but also contributes to a positive competition atmosphere - ultimately enhancing the overall experience for competitors and participants alike.",Not specified,Not specified,
153,JigJam,Department Event,Not specified,2025-03-14T20:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(JigJam)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,$48,"Just in time for St. Patrick&#8217;s Day, JigJam , &#8220;the best Irish group in bluegrass&#8221; ( Irish American News ), guarantees foot-stomping, heart-pounding feel-good tunes. The quartet made its Grand Ole Opry Debut in 2023 to a sold-out crowd where they were joined by Garth Brooks, Trisha Yearwood, Steve Earle, and Lauren Alaina, among others. JigJam includes Ireland&#8217;s County Offaly natives Jamie McKeogh (lead singer and guitar); Daithi Melia (5-string banjo and dobro); Tipperary-born Gavin Strappe (mandolin and tenor banjo); and St. Louis, Missouri&#8217;s own Kevin Buckley (fiddle). These talented multi-instrumentalists have released three albums and are winning over audiences with their infectious blend of bluegrass and American folk. Celebrate the rich musical heritage of the Irish with &#8220;Ireland&#8217;s answer to New Grass Revival&#8221; ( Midwest Records ). This performance is appropriate for all ages. Tickets: $48, $41, $29; half-price for youth through Grade 12 Run Time: approximately 90 minutes, plus intermission 2024-25 Hylton Performing Arts Center Season Sponsor:",Not specified,Not specified,
154,Collegiate Esports Tournament,Department Event,Not specified,2025-03-15T08:00:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Ballroom, Lobby, Fairfax Campus",0,Not specified,Not specified,"March 14th- March 16th Spring esports tournaments, for 24 different college teams",Not specified,Not specified,
155,Admissions Saturday Information Sessions,Department Event,Not specified,2025-03-15T09:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Admissions+Saturday+Information+Sessions)"" target=""_blank"" rel=""noopener"">Johnson Center, Cinema, Fairfax Campus</a>",0,Not specified,Not specified,Information session location for Admissions Saturday sessions (tours launched after each session)&#160;,Not specified,Not specified,
156,Come to the Music,Student Organization,Not specified,2025-03-15T19:30:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Come+to+the+Music)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,$25,"The Chorale is joined by the Voices United Festival Choir and guest conductor Joseph Martin, along with an orchestra of talented musicians who, together, fill the hall with magnificent music. The final piece features all of the performers on stage together. Enjoy an evening of beautiful melodies, exciting arrangements, and toe-tapping spirituals that inspire you to &#8220;come to the music!&#8221; $25, $23 adult; free to Mason students and children (18 years and younger) Subscriptions are available for the Manassas Chorale 2024&#8211;25 season until October 12. Please visit or call the Hylton Center Ticket Office at 703-993-7700 to subscribe.? Individual tickets go on sale August 1.",Not specified,Not specified,
157,Cherish the Ladies,Department Event,Not specified,2025-03-15T20:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Cherish+the+Ladies)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$55,"Kick up your heels with U.S.-based Celtic music sensation Cherish the Ladies in a rousing program of traditional Irish melodies and original arrangements performed with virtuoso instrumentation, beautiful vocals, and spirited step dancing. Celebrating its 40th anniversary in 2025, this all-female ensemble has captivated audiences with its &#8220;passionate, tender, and rambunctious&#8221; ( Washington Post ) sound that has earned a GRAMMY nomination as well as recognition as the BBC &#8217;s &#8220;Best Musical Group of the Year&#8221; and the Irish Music Awards&#8217; &#8220;Top North American Celtic Group.&#8221; Led by Bronx-native Joanie Madden, 2021 NEA National Heritage Fellowship Award winner and All-Ireland flute and whistle champion, Cherish the Ladies brims with heart, humor, and &#8220;heaps of music in their fingers and toes.&#8221; ( Glasgow Herald ). This performance is appropriate for all ages. This event will be ASL interpreted. Tickets: $55, $47, $33; half-price for youth through Grade 12 Run Time: approximately 90 minutes, plus intermission",Not specified,Not specified,
158,Millennium Tour,Department Event,Not specified,2025-03-15T20:00:00,EagleBank Arena (Patriot Center),0,Not specified,Not specified,"Featuring:&#160; Omarion, Bow Wow, Plies, Boosie, Ying Yang Twins, RSVP, Bobby V, Pleasure P ... lineup could change Tickets can be purchased at www.ticketmaster.com or at the EagleBank Arena Box Office.&#160; Box Office hours are Tuesday - Thursday (12pm - 6pm) and Friday - Saturday (12pm - 4pm). &#160;",Not specified,Not specified,
159,Collegiate Esports Tournament,Department Event,Not specified,2025-03-16T08:00:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Ballroom, Lobby, Fairfax Campus",0,Not specified,Not specified,"March 14th- March 16th Spring esports tournaments, for 24 different college teams",Not specified,Not specified,
160,Veteran Access to Capital Symposium,Department Event,Not specified,2025-03-17T08:00:00,"Van Metre Hall, 125/126, Multipurpose Room, Mason Square, Van Metre Hall, 134, Auditorium, Mason Square",0,Not specified,Not specified,Save the Date,Not specified,Not specified,
